Test_case,WCAG_Level,Google_Accessibility_Developer_Tools_/AccessLint,Tenon,Wave,HTML_Code_Sniffer,aXE,tanaguru,sort_site,EIII,AChecker,Nu_Html_Checker
Small_text_does_not_have_a_contrast_ratio_of_at_least_4.5:1_so_does_not_meet_AA,AA,error_found,not_found,error_found,not_found,error_found,error_found,not_found,not_found,not_found,not_found
Large_text_does_not_have_a_contrast_ratio_of_at_least_3:1_so_does_not_meet_AA,AA,error_found,not_found,not_found,not_found,error_found,error_found,not_found,not_found,not_found,not_found
Small_text_does_not_have_a_contrast_ratio_of_at_least_7:1_so_does_not_meet_AAA,AAA,error_found,not_found,error_found,not_found,error_found,error_found,not_found,not_found,not_found,not_found
Large_text_does_not_have_a_contrast_ratio_of_at_least_4.5:1_so_does_not_meet_AAA,AAA,error_found,not_found,not_found,not_found,error_found,error_found,not_found,not_found,not_found,not_found
Justified_text_found,,not_found,error_found,warning_reported,not_found,not_found,not_found,not_found,not_found,not_found,not_found
Blink_element_found,,not_found,error_found,error_found,error_found,error_found,error_found,error_found,error_found,error_found,not_found
Marquee_element_found,,not_found,error_found,error_found,not_found,error_found,error_found,error_found,error_found,error_found,not_found
html_element_is_missing_a_lang_attribute,,error_found,error_found,not_found,not_found,error_found,error_found,error_found,error_found,error_found,not_found
html_element_has_an_empty_lang_attribute,,error_found,not_found,not_found,not_found,not_found,not_found,not_found,error_found,not_found,not_found
html_element_has_an_invalid_value_in_the_lang_attribute,,false_positive,not_found,not_found,not_found,error_found,error_found,error_found,error_found,error_found,not_found
html_element_has_lang_attribute_set_to_wrong_language,,false_positive,not_found,not_found,not_found,not_found,error_found,not_found,not_found,not_found,not_found
lang_attribute_not_used_to_identify_change_of_language,,not_found,not_found,not_found,not_found,not_found,error_found,not_found,not_found,not_found,not_found
"lang_attribute_used_to_identify_change_of_language,_but_with_invalid_value",,not_found,not_found,not_found,not_found,error_found,not_found,not_found,not_found,error_found,error_found
"lang_attribute_used_to_identify_change_of_language,_but_with_wrong_language",,not_found,not_found,not_found,not_found,not_found,error_found,not_found,not_found,not_found,not_found
Text_language_changed_without_required_change_in_direction,,not_found,error_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
Missing_page_title,,error_found,error_found,not_found,not_found,error_found,error_found,error_found,error_found,error_found,not_found
Empty_page_title,,error_found,error_found,not_found,not_found,not_found,not_found,not_found,error_found,not_found,not_found
Missing_H1,,not_found,not_found,not_found,not_found,not_found,error_found,error_found,not_found,not_found,not_found
Headings_not_structured_in_a_hierarchical_manner,,not_found,not_found,warning_reported,warning_reported,not_found,error_found,not_found,not_found,error_found,not_found
Empty_heading,,not_found,error_found,error_found,error_found,error_found,error_found,error_found,error_found,error_found,error_found
